Version,Effective Date,Description of Change,Prepared by,Page
1.0,14 Sep 2013,New release,Edward Yuen,1
1.1,22 Mar 2017,"Process  Review  &  Release  of 
the 
following GPS & guidelines: 
1. Global  Process  Standards:  Voice 
and Virtual V4.1 
2. Retail  Banking  Client  Authentication 
Global Process Standards V4.0 
3. Authentication  Guidelines  for  Client 
Care Centre, HK Version 1.1",Man Kwan,1
